title,rating,year,wins,nominations,news,reviews
Xtro - Nicht alle Außerirdischen sind freundlich (1983),5.4,1983,1,0,10,69
Kapitän Dotterbart (1983),6.1,1983,0,0,6,66
Black Fury (1935),6.7,1935,0,1,0,13
Yentl (1983),6.6,1983,5,14,82,61
'Allo 'Allo! (TV Series 1982–1992),8.4,1992,1,5,0,38
Charles in Charge (TV Series 1984–1990),6.1,1990,2,13,80,28
Finder of Lost Loves (TV Series 1984–1985),6.4,1985,0,0,0,5
G.I. Joe (TV Series 1985–1986),7.8,1986,0,0,199,21
Kate & Allie (TV Series 1984–1989),7,1989,5,25,0,10
Mord ist ihr Hobby (TV Series 1984– ),6.8,1984,25,54,17,51
The New Scooby-Doo Mysteries (TV Series 1984–1985),7.2,1985,0,0,0,7
Punky Brewster (TV Series 1984–1988),6.4,1988,2,13,124,25
Trio mit vier Fäusten (TV Series 1984–1986),6.7,1986,0,0,11,12
Robin of Sherwood (TV Series 1984–1986),8.4,1986,2,9,26,43
Super Password (TV Series 1984–1989),7.8,1989,0,0,0,5
Transformers (TV Series 1984–1987),8,1987,0,0,135,53
V - Die außerirdischen Besucher kommen (TV Series 1984–1985),7.2,1985,1,1,0,30
Wer ist hier der Boß? (TV Series 1984–1992),6.5,1992,16,30,6,27
The Adventures of André and Wally B. (1984),5.4,1984,1,0,2,9
Buckaroo Banzai - Die 8. Dimension (1984),6.4,1984,0,0,61,208
Theater der Liebe (1984),7.1,1984,0,0,0,3
Beverly Hills Cop - Ich lös' den Fall auf jeden Fall (1984),7.3,1984,3,4,1058,158
Ceiling Zero (1936),7,1936,1,0,0,5
Blame It on the Night (1984),5,1984,0,0,0,2
Der Tod kommt zweimal (1984),6.7,1984,2,1,105,161
Die Bounty (1984),7,1984,0,0,44,86
C.H.U.D. - Panik in Manhattan (1984),5.4,1984,1,1,20,81
Auf dem Highway ist wieder die Hölle los (1984),4.7,1984,1,8,15,53
Carmen (1984),7.5,1984,10,10,44,17
Abenteuer im gelben Meer (1935),7,1935,0,0,6,25
City Heat - Der Bulle und der Schnüffler (1984),5.4,1984,0,0,19,41
Fellinis Schiff der Träume (1983),7.7,1983,11,1,5,25
Der Liebe verfallen (1984),6.4,1984,2,1,218,51
Lockenköpfchen (1935),6.9,1935,0,0,36,13
Footloose (1984),6.4,1984,1,4,861,104
Spuren eines Verbrechens (1984),6.9,1984,12,3,9,40
Godzilla - Die Rückkehr des Monsters (1984),6.1,1984,2,2,18,54
Gremlins - Kleine Monster (1984),7.2,1984,7,6,1025,223
Greystoke - Die Legende von Tarzan\,http://www.imdb.com/title/tt0087365/,8100,video.movie,4,24,0
Hum Dono (1985),6.6,1985,0,0,0,1
Die Eispiraten (1984),5.6,1984,0,0,12,51
Iceman - Der Mann der aus dem Eis kam (1984),6.1,1984,0,0,5,25
David Copperfield (1935),7.6,1935,1,1,5,38
Johnny G. - Gangster wider Willen (1984),6.4,1984,0,0,23,55
Kaos (1984),7.9,1984,4,6,6,15
Der Powerman (1984),7.3,1984,0,0,0,35
Dr. Socrates (1935),6.6,1935,0,0,0,9
Der Kurschatten (1985),8.3,1985,0,0,0,1
Der Komet (1984),6.4,1984,0,0,123,150
Nightmare - Mörderische Träume (1984),7.5,1984,2,3,2324,614
Non ci resta che piangere (1984),7.9,1984,0,0,0,10
First a Girl (1935),7.1,1935,0,0,0,12
Das Philadelphia Experiment (1984),6.1,1984,1,1,25,50
Ein Platz im Herzen (1984),7.4,1984,13,11,69,43
Repo Man (1984),6.9,1984,3,2,263,142
Menschen am Fluß (1984),6.3,1984,2,2,21,8
Leichte Straße (1917),7.7,1917,0,0,4,21
Die Frau auf Seite 1 (1935),7.2,1935,0,0,0,11
Sex Mission (1984),7.9,1984,2,2,0,28
Stille Nacht - Horror Nacht (1984),5.9,1984,0,0,0,169
Das darf man nur als Erwachsener (1984),7.2,1984,2,1,526,150
Der gnadenlose Schatten (1983),4.7,1983,1,1,0,5
Star Trek III: Auf der Suche nach Mr. Spock (1984),6.6,1984,0,0,106,168
Stop Making Sense (1984),8.4,1984,3,0,75,61
Straßen in Flammen (1984),6.7,1984,2,1,122,140
Thriller (TV Short 1983),8.5,1983,2,0,0,46
Top Secret (1984),7.2,1984,0,0,0,154
Urusei Yatsura 2: Byûtifuru dorîmâ (1984),7.8,1984,0,0,0,9
Die Frau in Rot (1984),5.8,1984,1,1,23,39
Womit habe ich das verdient? (1984),7.2,1984,5,1,0,25
Adventures in Wonderland (TV Series 1992–1994),8,1992,8,14,78,7
The Bugs Bunny/Looney Tunes Comedy Hour (TV Series 1985– ),8.5,1985,0,0,0,3
Dragon Ball: Doragon bôru (TV Series 1986–1989),8.7,1989,0,0,0,19
Freunde im All (TV Series 1985–1986),6.2,1986,0,0,34,6
EastEnders (TV Series 1985– ),5.3,1985,160,231,5520,90
Golden Girls (TV Series 1985–1992),7.7,1992,35,86,472,132
Unser lautes Heim (TV Series 1985–1992),6.6,1992,16,16,627,37
Die Gummibärenbande (TV Series 1985–1991),7.8,1991,0,0,6,23
Larry King Live (TV Series 1985– ),5.6,1985,11,6,747,9
Lindenstraße (TV Series 1985– ),5.1,1985,5,2,0,0
MASK - Die Masken (TV Series 1985– ),7.2,1985,0,0,0,21
Mr. Belvedere (TV Series 1985–1990),6.6,1990,1,12,28,7
Street Hawk (TV Series 1985– ),7,1985,0,0,15,16
Thundercats (TV Series 1985–1989),7.9,1989,0,0,38,38
Unbekannte Dimensionen (TV Series 1985–1989),7.8,1989,2,9,186,24
Khoon Ka Khoon (1935),5.3,1935,0,0,0,0
Die Zeit nach Mitternacht (1985),7.7,1985,4,7,43,171
Amici miei - Atto III° (1985),6.2,1985,1,0,0,0
Anne auf Green Gables (TV Movie 1985),8.4,1985,11,6,67,73
Before Stonewall (1984),7.5,1984,3,1,3,5
Lanny dreht auf (1985),7.3,1985,0,0,106,171
Mad Love (1935),7.4,1935,0,0,30,72
KatzenAuge (1985),6.2,1985,0,0,51,75
A Chorus Line (1985),6,1985,0,5,252,81
Christopher Columbus (TV Mini-Series 1985),7.7,1985,0,0,0,7
Ciuleandra (1985),7.9,1985,0,0,0,3
Cocoon (1985),6.6,1985,3,11,162,75
Die Farbe Lila (1985),7.8,1985,14,9,730,182
Der Läufer (1990),8,1990,1,0,0,6
Zombie 2 - Das letzte Kapitel (1985),7.2,1985,2,0,841,401
Death Wish 3 - Die Rächer von New York (1985),5.8,1985,0,0,45,148
Dance of the Demons (1985),6.6,1985,0,0,213,163
Detective (1985),6.2,1985,2,1,5,15
Friday the 13th: A New Beginning (1985),4.5,1985,0,0,77,325
Die rabenschwarze Nacht (1985),7.1,1985,5,4,1107,255
Lipstick & Ice Cream (1985),5.9,1985,0,0,119,54
Zurück aus der Vergangenheit (1985),6.2,1985,1,0,3,23
Die neuen Abenteuer des Herkules (1985),3.8,1985,0,0,0,15
Der 4 1/2 Billionen Dollar Vertrag (1985),5.8,1985,0,0,0,22
Police Story (1985),7.6,1985,2,5,148,76
Quatermain - Auf der Suche nach dem Schatz der Könige (1985),5.1,1985,0,0,26,66
Der Verrückte mit dem Geigenkasten (1985),5.6,1985,0,0,9,42
Die Maske (1985),7.2,1985,2,6,81,87
Mein Leben als Hund (1985),7.8,1985,15,2,67,55
My Science Project (1985),5.9,1985,0,0,12,21
Hilfe\,http://www.imdb.com/title/tt0089670/,5700,video.movie,1,35,0
Karate Tiger - Der letzte Kampf (1986),5.5,1986,0,0,0,93
Novembermond (1985),5.9,1985,0,0,0,1
Oberst Redl (1985),7.6,1985,5,2,5,15
Otaku no video (Video 1991),7.3,1991,0,0,0,7
Page Miss Glory (1935),8.1,1935,0,0,0,15
Der Panther (1985),5.8,1985,0,0,0,1
Pee-wees irre Abenteuer (1985),7,1985,1,2,159,174
Police Academy 2 - Jetzt geht's erst richtig los (1985),5.5,1985,1,0,13,77
Magere Zeiten (1984),6.6,1984,3,3,16,19
Die Ehre der Prizzis (1985),6.8,1985,30,19,60,83
Rambo II - Der Auftrag (1985),6.3,1985,5,4,133,198
Der Re-Animator (1985),7.3,1985,4,2,589,188
Was für ein Genie (1985),7,1985,2,2,96,120
Verdammt\,http://www.imdb.com/title/tt0089907/,5460,video.movie,0,18,406
Les rois du gag (1985),4.9,1985,0,0,0,1
Shoah (1985),8,1985,13,0,99,40
St. Elmo's Fire - Die Leidenschaft brennt tief (1985),6.3,1985,1,1,134,138
Starchaser: The Legend of Orin (1985),6.8,1985,0,0,3,33
The Stuff (1985),5.9,1985,0,0,36,96
Summer Rental (1985),6.1,1985,0,0,7,37
That's Dancing! (1985),6.9,1985,0,0,0,13
Atomic Hero (1984),6.2,1984,0,0,180,139
Kyûketsuki hantâ D (Video 1985),7.1,1985,0,0,34,63
Powerman II (1985),6.4,1985,0,0,0,11
Im Jahr des Drachen (1985),6.9,1985,1,7,53,60
ALF (TV Series 1986–1990),7.3,1990,4,13,81,42
Die Plutonium-Affäre (TV Mini-Series 1985),8.5,1985,7,5,150,50
Lovejoy (TV Series 1986–1994),8,1986,0,0,76,22
Matlock (TV Series 1986–1995),7,1986,5,4,143,26
The New Gidget (TV Series 1986–1988),7.8,1988,0,0,0,1
Ein Grieche erobert Chicago (TV Series 1986–1993),7.2,1986,1,1,45,61
Valerie (TV Series 1986–1991),6.5,1991,2,13,0,7
Betty Blue (1986),7.4,1986,5,10,27,75
52 Pick-Up (1986),6.4,1986,0,0,0,39
Der Werwolf von London (1935),6.4,1935,0,0,25,69
Allah-Rakha (1986),6.2,1986,0,0,0,3
Im Augenblick der Angst (1987),6.8,1987,5,2,29,47
Die Horror-Party (1986),6.2,1986,0,0,0,116
Asterix bei den Briten (1986),7.1,1986,0,0,0,12
Mach's nochmal\,http://www.imdb.com/title/tt0090685/,5760,video.movie,1,20,207
Rocket Man - Der Beste aller Zeiten (1986),5.9,1986,0,0,15,34
Maxims Jugend (1935),7,1935,1,0,0,1
Glücksbärchis Teil 2 - Jetzt im Abenteuerland (1986),5.2,1986,0,0,2,25
Die Affäre Aldo Moro (1986),7.1,1986,3,3,0,1
Critters - Sie sind da! (1986),6,1986,0,0,41,107
Crossroads - Pakt mit dem Teufel (1986),7,1986,1,0,13,76
Der tödliche Freund (1986),5.4,1986,0,0,30,62
Dung fong tuk ying (1987),7.4,1987,0,0,0,22
Zoff in Beverly Hills (1986),6.1,1986,2,2,50,41
Dr. Otto and the Riddle of the Gloom Beam (1986),6,1986,0,0,0,15
Fire with Fire - Verbotene Leidenschaft (1986),6.4,1986,0,0,50,24
Feuerwalze (1986),4.8,1986,0,0,0,40
Freitag\,http://www.imdb.com/title/tt0091080/,5160,video.movie,0,16,82
From Beyond - Aliens des Grauens (1986),6.8,1986,3,3,285,105
Die Flüchtigen (1986),7.1,1986,0,0,0,4
The Little American (1917),6.9,1917,0,0,0,12
Sodbrennen (1986),6,1986,1,0,92,38
Hitcher\,http://www.imdb.com/title/tt0091209/,5820,video.movie,3,21,173
Rantes - Der Mann\,http://www.imdb.com/title/tt0091214/,6300,video.movie,13,0,0
Hotel St. Pauli (1988),3.7,1988,0,0,0,5
Zum Tanzen geboren (1936),6.8,1936,0,0,2,26
Karate Kid II - Entscheidung in Okinawa (1986),5.8,1986,4,2,17,98
King Kong lebt (1986),3.6,1986,0,0,9,54
Lady Jane - Königin für neun Tage (1986),7.2,1986,0,0,51,46
Liebe wie Staub im Wind (1987),7.8,1987,1,0,0,6
Der rechte Arm der Götter (1986),7,1986,0,0,0,46
Lucker (1986),3.9,1986,0,0,0,21
Rhea M. - Es begann ohne Warnung (1986),5.3,1986,0,0,118,192
Murphys Gesetz (1986),5.8,1986,0,0,0,46
My Little Pony: The Movie (1986),6,1986,0,0,7,25
Der Verrat des Surat Khan (1936),7.2,1936,0,2,18,45
Verfolgt und gejagt (TV Movie 1986),6.7,1986,0,0,0,2
Die Nacht der Creeps (1986),6.8,1986,0,0,218,122
Nothing in Common - Sie haben nichts gemeinsam (1986),5.9,1986,0,0,9,28
One Crazy Summer (1986),6.4,1986,0,0,44,59
Police Academy 3 - ...und keiner kann sie bremsen (1986),5,1986,1,0,4,54
Poltergeist II - Die andere Seite (1986),5.6,1986,1,4,69,107
Pretty in Pink (1986),6.7,1986,1,0,552,135
Das Messer am Ufer (1986),7.1,1986,3,5,29,108
Zimmer mit Aussicht (1985),7.5,1985,23,21,127,90
Diese Zwei sind nicht zu fassen (1986),6.5,1986,2,0,16,64
Die unglaubliche Entführung der verrückten Mrs. Stone (1986),6.8,1986,1,2,52,69
Sherman's March (1985),7.5,1985,5,0,13,29
Sehnsucht (1936),7.3,1936,0,0,2,18
A Smoky Mountain Christmas (TV Movie 1986),7.1,1986,0,0,0,24
Zurück in die Gegenwart - Star Trek IV (1986),7.3,1986,3,13,112,190
Rebellen des Grauens (1986),4.3,1986,0,0,0,25
Tai-Pan (1986),5.4,1986,0,0,3,19
Archie und Harry - Sie können's nicht lassen (1986),6.1,1986,0,0,50,19
True Stories (1986),6.9,1986,0,0,173,48
Kreuzfeuer der Agenten (1986),6.2,1986,0,0,10,19
Zhong guo tie ren (1973),6.9,1973,0,0,0,1
Draculas Tochter (1936),6.4,1936,0,0,42,75
Bionic Six (TV Series 1987– ),7.4,1987,0,0,0,8
Reich und schön (TV Series 1987– ),3.5,1987,82,261,733,48
Full House (TV Series 1987–1995),6.5,1987,16,19,1341,286
Eine schrecklich nette Familie (TV Series 1987–1997),8.2,1987,6,21,301,165
Kampf gegen die Mafia (TV Series 1987–1990),7.8,1990,3,19,61,14
Die besten Jahre (TV Series 1987–1991),7.4,1987,26,63,7,21
Ein sonderbarer Fall (1937),7.6,1937,0,0,0,12
Das Wunder in der 8. Straße (1987),6.4,1987,2,1,0,50
Die Nacht der Abenteuer (1987),6.8,1987,2,6,338,122
Amazonen auf dem Mond (1987),6.1,1987,0,0,51,59
Babettes Fest (1987),7.9,1987,10,8,31,96
High-Life am Strand (1987),5.6,1987,0,0,22,41
Bad Taste (1987),6.8,1987,1,1,214,275
The Ex-Mrs. Bradford (1936),7,1936,0,0,0,20
Die Barbaren (1987),4.7,1987,0,0,0,28
Bellissimo: Immagini del cinema italiano (1985),6.7,1985,0,0,0,1
Benji - Sein größtes Abenteuer (1987),6.2,1987,1,1,2,15
Der Fahrradfahrer (1987),7.4,1987,1,0,0,5
Can't Buy Me Love (1987),6.7,1987,1,3,60,64
Rebecca of Sunnybrook Farm (1917),7.6,1917,0,0,3,7
Krieg in Chinatown (1987),6,1987,0,0,0,14
Alwin und die Weltenbummler (1987),7.3,1987,0,0,8,31
Creepshow 2 - Kleine Horrorgeschichten (1987),5.9,1987,0,0,59,109
Death Wish 4 - Das Weiße im Auge (1987),5.2,1987,0,0,10,72
Schlappe Bullen beißen nicht (1987),5.9,1987,0,0,80,68
Eddie Murphy Raw (1987),7.5,1987,0,0,77,51
Epidemic (1987),6.1,1987,0,0,13,21
Ausgelöscht (1987),6.5,1987,0,0,24,43
Action Hunter (1988),7.4,1988,0,0,0,46
Das vierte Protokoll (1987),6.4,1987,0,0,9,31
The Gay Desperado (1936),6.4,1936,1,0,0,12
Happy New Year (1987),6,1987,0,0,13,4
Heat - Nick\,http://www.imdb.com/title/tt0093164/,6060,video.movie,0,7,90
The Hidden - Das unsagbar Böse (1987),7,1987,4,6,33,93
Gay Love (1934),4.8,1934,0,0,0,1
Wolfsmilch (1987),6.8,1987,2,2,66,37
Great Performances James Stewart: A Wonderful Life (TV Episode 1987),8.1,1987,0,0,0,2
Gold Diggers of 1937 (1936),6.5,1936,0,0,3,18
Bill Cosby - Die Superkanone (1987),2.3,1987,3,3,14,85
Das Gesetz der Begierde (1987),7.2,1987,10,3,19,25
The Lost Boys (1987),7.2,1987,3,5,867,318
Malone (1987),5.5,1987,0,0,5,36
Der große Ziegfeld (1936),6.9,1936,1,5,58,54
Masters of the Universe (1987),5.3,1987,2,5,539,171
Maurice (1987),7.8,1987,3,1,32,69
Sommerferien - Total verrückt (1986),3.2,1986,0,0,0,17
Mio\,http://www.imdb.com/title/tt0093543/,5940,video.movie,1,6,0
Die Galgenvögel (1987),6,1987,0,0,0,18
Moonzund (1987),7.4,1987,0,0,0,2
Mein teuflischer Liebhaber (1987),4.5,1987,0,0,0,12
Tödliche Strahlen (1936),6.7,1936,1,0,2,43
Near Dark - Die Nacht hat ihren Preis (1987),7.1,1987,1,8,304,199
Nightmare 3 - Freddy lebt (1987),6.5,1987,1,4,94,283
Ofelas (1987),7.4,1987,4,2,0,30
Overboard - Ein Goldfisch fällt ins Wasser (1987),6.7,1987,0,0,87,87
Jack der Aufreisser (1987),5.1,1987,0,0,35,25
Ein Ticket für zwei (1987),7.6,1987,0,0,4,331
Police Academy 4 - Und jetzt geht's rund (1987),4.6,1987,0,0,6,58
Lustige Sünder (1936),7.9,1936,0,0,14,50
Project X (1987),6,1987,0,0,111,32
Radio Days (1987),7.6,1987,2,7,77,84
Rots Traum (1987),6.5,1987,0,0,5,12
Remote Control (1988),5.4,1988,0,0,0,16
Die Supertrottel (1987),4.8,1987,0,0,7,31
The Secret Garden (TV Movie 1987),7.2,1987,0,0,3,23
September (1987),6.6,1987,0,0,0,48
A Chinese Ghost Story I (1987),7.6,1987,8,10,0,42
Schütze deine Rechte (1987),6.2,1987,1,1,0,4
Die Nacht hat viele Augen (1987),6.6,1987,2,0,16,59
Maria von Schottland (1936),6.5,1936,1,1,6,21
Summer School (1987),6.5,1987,0,0,100,60
Schmeiß' die Mama aus dem Zug! (1987),6.2,1987,2,3,53,69
Die Hexen von Eastwick (1987),6.5,1987,6,8,137,101
Withnail & I (1987),7.9,1987,1,0,159,180
The American Experience (TV Series 1988– ),8.1,1988,65,99,14,4
Campion (TV Series 1989–1990),7.7,1989,0,0,3,5
A Romance of the Redwoods (1917),7.1,1917,0,0,0,11
Harry's Nest (TV Series 1988–1995),6.6,1988,8,17,0,13
Garfield und seine Freunde (TV Series 1988–1995),7.4,1988,1,4,13,37
Home and Away (TV Series 1988– ),5.3,1988,41,86,1167,62
In der Hitze der Nacht (TV Series 1988–1995),7.4,1988,4,3,22,24
Katts & Dog (TV Series 1988–1993),6.7,1988,0,0,0,10
In geheimer Mission (TV Series 1988–1990),7.6,1988,0,0,7,15
Murphy Brown (TV Series 1988–1998),7,1988,45,111,267,21
Agatha Christie's Poirot (TV Series 1989– ),8.6,1989,4,13,293,39
A Pup Named Scooby-Doo (TV Series 1988–1991),6.7,1988,0,0,0,23
Red Dwarf (TV Series 1988– ),8.6,1988,4,4,311,109
Wunderbare Jahre (TV Series 1988–1993),8.4,1988,23,70,459,97
Nico (1988),5.9,1988,0,0,83,84
Spacecop L.A. 1991 (1988),6.2,1988,1,4,92,44
Amanece\,http://www.imdb.com/title/tt0094641/,6600,video.movie,0,0,0
Eine andere Frau (1988),7.4,1988,2,2,2,60
Ariel (1988),7.6,1988,3,1,12,19
BAT21 - Mitten im Feuer (1988),6.4,1988,1,0,0,38
Freundinnen (1988),6.7,1988,1,4,105,102
Beetlejuice (1988),7.4,1988,7,10,1099,283
Der Blob (1988),6.3,1988,0,0,77,135
Elmer (1988),6.7,1988,0,0,50,42
Annies Männer (1988),7.1,1988,8,3,205,104
Pennies from Heaven (1936),6.7,1936,0,0,0,14
Camille Claudel (1988),7.3,1988,8,9,51,31
Cocktail (1988),5.7,1988,5,3,114,94
Der Prinz aus Zamunda (1988),6.9,1988,5,1,318,121
Der Couch-Trip (1988),5.6,1988,0,0,0,22
D.O.A. - Bei Ankunft Mord (1988),6.1,1988,0,0,8,41
Dead Heat (1988),5.9,1988,0,0,38,60
Die Unzertrennlichen (1988),7.4,1988,23,10,243,105
Die Toten der Seine (TV Short 1989),7.2,1989,0,0,0,2
Dr. Alien (1989),3.7,1989,0,0,3,13
The Road to Glory (1936),7,1936,0,0,0,5
Frantic (1988),6.9,1988,0,0,57,140
Funny Farm (1988),6,1988,0,0,9,72
Gor (1987),3.2,1987,0,0,2,27
Ferien zu Dritt (1988),6.5,1988,0,0,22,75
Hairspray (1988),6.9,1988,0,0,24,57
Halloween 4 - Michael Myers kehrt zurück (1988),5.9,1988,0,0,117,356
Hellbound - Hellraiser 2 (1988),6.5,1988,1,4,107,149
Homeboy (1988),5.9,1988,0,0,0,12
Romeo and Juliet (1936),6.8,1936,2,0,25,35
Ghettobusters (1988),6.5,1988,0,0,15,53
Imagine: John Lennon (1988),7.9,1988,0,0,4,22
Die Rückkehr des unheimlichen Hulk (TV Movie 1988),5.6,1988,0,0,10,22
Police Story 2 - Der Supercop schlägt wieder zu (1988),7.1,1988,1,0,7,33
Daddy's Cadillac (1988),6.2,1988,2,1,131,50
Mick... mein Freund vom anderen Stern (1988),3.4,1988,2,6,64,104
Die Mafiosi-Braut (1988),6.1,1988,6,4,56,48
Martha\,http://www.imdb.com/title/tt0095595/,5520,video.movie,0,0,0
Medea (TV Movie 1988),7.2,1988,0,0,5,15
Midnight Run - 5 Tage bis Mitternacht (1988),7.6,1988,2,0,416,197
Die Ministerien der Kunst (TV Movie 1989),7.4,1989,0,0,0,0
San Francisco (1936),7.4,1936,1,6,0,62
Der Affe im Menschen (1988),6.2,1988,7,1,30,57
Liebe mit Biß (1987),6,1987,0,0,15,23
Meine Stiefmutter ist ein Alien (1988),5.1,1988,0,0,16,52
3 Girlfriends (1988),6.1,1988,1,4,9,70
Die nackte Kanone (1988),7.6,1988,0,0,11,175
Panther II - Eiskalt wie Feuer (1988),5.6,1988,0,0,0,2
Eine verrückte Reise durch die Nacht (1988),6.4,1988,0,0,0,16
Nightmare on Elm Street 4 (1988),5.6,1988,2,9,64,238
Der Bär (1988),7.7,1988,5,7,7,58
Out of Rosenheim (1987),7.5,1987,13,2,4,70
The Last Song (1988),6.4,1988,0,0,0,36
Das Böse II (1988),6.5,1988,0,0,105,96
Powaqqatsi (1988),7.3,1988,0,0,31,34
Der Prinz von Pennsylvania (1988),5.6,1988,0,0,0,13
Prison - Rückkehr aus der Hölle (1988),5.9,1988,0,0,51,34
The Rough House (1917),5.8,1917,0,0,2,6
Show Boat (1936),7.8,1936,1,1,0,52
Das Halloween Monster (1988),6.2,1988,0,0,94,141
Rambo III (1988),5.6,1988,2,5,80,155
Renegade - Terence Hill und der faulste Gaul der Welt (1987),6.2,1987,0,0,2,8
Rent-a-Cop (1987),4.2,1987,1,1,4,12
Die Rückkehr der Killertomaten (1988),5.1,1988,0,0,2,38
Die Rückkehr der Höllenzombies (1988),5.7,1988,0,0,15,104
Louis Pasteur (1936),7.4,1936,2,2,8,20
Die Schlange im Regenbogen (1988),6.4,1988,0,0,54,71
Mörderischer Vorsprung (1988),6.8,1988,0,0,11,45
Nummer 5 gibt nicht auf (1988),5.5,1988,0,0,22,47
Splendor (1989),7.1,1989,1,7,0,3
Geschichten aus dem Gimli Hospital (1988),6.8,1988,0,0,8,12
Tequila Sunrise (1988),5.9,1988,3,1,13,68
Der Fall Randall Adams (1988),8.1,1988,9,4,157,54
Tin Toy (1988),6.8,1988,3,0,32,19
Tucker - Ein Mann und sein Traum (1988),6.9,1988,11,3,28,53
Twins - Zwillinge (1988),5.9,1988,4,0,378,71
U2: Rattle and Hum (1988),7.4,1988,0,0,5,45
Die unerträgliche Leichtigkeit des Seins (1988),7.4,1988,11,7,78,127
Vibes - Die Jagd nach der glühenden Pyramide (1988),5.4,1988,0,0,12,45
Falsches Spiel mit Roger Rabbit (1988),7.7,1988,18,21,796,225
Spacecop L.A. (TV Series 1989–1990),6.8,1989,1,1,13,9
In 80 Tagen um die Welt (TV Mini-Series 1989),7.2,1989,0,1,2,20
Baywatch - Die Rettungsschwimmer von Malibu (TV Series 1989–2001),5,1989,5,14,2165,46
Birds of a Feather (TV Series 1989–2014),6.6,1989,2,6,85,12
Booker (TV Series 1989–1990),6.2,1989,0,0,0,5
Was kommen wird (1936),6.8,1936,0,0,44,94
Casualty (TV Series 1986– ),6,1986,7,22,401,16
Chip & Chap - Die Ritter des Rechts (TV Series 1989–1990),7.7,1989,0,0,6,21
Mit Herz und Scherz (TV Series 1989–1997),7,1989,12,20,167,26
Cops (TV Series 1989– ),7.1,1989,1,0,66,25
Doogie Howser (TV Series 1989–1993),6.6,1989,8,7,5,8
Alle unter einem Dach (TV Series 1989–1998),6.5,1989,8,15,173,88
Hey Dude (TV Series 1989–1991),7.4,1989,0,0,82,53
The Kids in the Hall (TV Series 1988–1994),8.5,1988,9,14,17,68
Undersea Kingdom (1936),4.7,1936,0,0,3,17
Primetime Live (TV Series 1989– ),6,1989,8,4,0,5
Prinz Kaspian von Narnia (TV Series 1989– ),7,1989,0,0,2,18
California High School (TV Series 1989–1993),7,1989,6,26,1044,160
Meine teuflischen Nachbarn (1989),6.8,1989,0,0,45,239
The BFG (1989),6.5,1989,0,0,95,15
Going Overboard (1989),1.9,1989,0,0,10,136
Bashu - Der kleine Fremde (1990),8.1,1990,0,0,0,11
Singende Kumpel haben's schwer (1989),6.1,1989,0,0,0,5
Karate Tiger IV - Best of the Best (1989),6.3,1989,0,0,63,69
The Walking Dead (1936),6.8,1936,0,0,155,41
Blinde Wut (1989),6.2,1989,0,0,28,58
Miez und Mops - Zwei tierische Freunde (1986),7.2,1986,1,2,4,68
Dead Bang - Kurzer Prozess (1989),6,1989,0,0,0,28
Deep Star Six (1989),5,1989,0,0,13,58
Do the Right Thing (1989),7.9,1989,14,8,651,370
Mein Liebhaber vom andern Stern (1988),5.2,1988,0,0,39,73
Eddie and the Cruisers II: Eddie Lives! (1989),6.1,1989,0,0,0,51
Erik\,http://www.imdb.com/title/tt0097289/,6420,video.movie,0,35,18
Die fabelhaften Baker Boys (1989),6.8,1989,19,6,116,72
Die Kameliendame (1936),7.6,1936,2,0,27,46
Die Schattenmacher (1989),6.5,1989,0,0,4,42
Die Fliege II (1989),4.8,1989,0,0,34,110
For All Mankind (1989),8.2,1989,4,0,0,25
Halloween V - Die Rache des Michael Myers (1989),5.1,1989,0,0,140,265
Harlem Nights (1989),5.8,1989,1,1,50,51
Manuel (1937),8,1937,5,3,25,68
Heathers (1988),7.4,1988,3,7,377,243
Kopf an Kopf (1989),7.1,1989,0,0,22,32
Heißkalte Nächte (1990),3.2,1990,0,0,0,8
Im Zeichen der Jungfrau (1989),5.5,1989,0,0,4,64
Johnny Handsome - Der schöne Johnny (1989),6.1,1989,1,2,42,41
Maria Walewska (1937),6.8,1937,0,0,7,19
Mein Partner mit der kalten Schnauze (1989),5.9,1989,0,0,12,37
Karate Kid III - Die letzte Entscheidung (1989),4.8,1989,0,0,0,106
Knick Knack (1989),7.7,1989,1,0,18,87
Schwarzer Regen (1989),8,1989,26,4,4,20
Der knallharte Prinzipal (1989),7.4,1989,4,3,133,69
Leningrad Cowboys Go America (1989),7,1989,0,0,11,26
Marx Brothers - Das große Rennen (1937),7.7,1937,0,0,15,62
Lobster Man from Mars (1989),5.4,1989,0,0,2,12
Lock Up - Überleben ist alles (1989),6.3,1989,0,0,89,59
Kuck' mal wer da spricht! (1989),5.8,1989,4,2,142,45
Love Love Love (1989),6,1989,0,0,0,0
Lu bing hua (1989),7.9,1989,0,0,0,1
Die Indianer von Cleveland (1989),7.2,1989,0,0,8,89
Dick Tracy (1937),7.4,1937,0,0,5,11
Meine Nächte sind schöner als deine Tage (1989),6.1,1989,0,0,0,5
Moontrap - Gefangen in Raum und Zeit (1989),5,1989,0,0,0,42
Nightmare on Elm Street 5 - Das Trauma (1989),5,1989,3,2,45,208
